image_path,image_name,ground_truth,predicted_label,confidence,correct,all_scores
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.27.54 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.27.54 PM.png,freshapples,rottenbanana,0.46035119891166687,False,"{'freshapples': 0.06500736624002457, 'freshbanana': 0.014081778936088085, 'freshoranges': 0.10045397281646729, 'rottenapples': 0.04713781177997589, 'rottenbanana': 0.46035119891166687, 'rottenoranges': 0.036178529262542725, 'unripe apple': 0.0687376856803894, 'unripe banana': 0.06773075461387634, 'unripe orange': 0.14032085239887238}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.28.59 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.28.59 PM.png,freshapples,rottenbanana,0.46661803126335144,False,"{'freshapples': 0.06633434444665909, 'freshbanana': 0.013960454612970352, 'freshoranges': 0.11033841222524643, 'rottenapples': 0.04005960375070572, 'rottenbanana': 0.46661803126335144, 'rottenoranges': 0.05132203549146652, 'unripe apple': 0.04604741930961609, 'unripe banana': 0.061398301273584366, 'unripe orange': 0.14392141997814178}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.02.31 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.02.31 PM.png,freshapples,rottenbanana,0.49038034677505493,False,"{'freshapples': 0.05174076929688454, 'freshbanana': 0.013559146784245968, 'freshoranges': 0.08697766810655594, 'rottenapples': 0.03856227546930313, 'rottenbanana': 0.49038034677505493, 'rottenoranges': 0.03424348309636116, 'unripe apple': 0.06079985946416855, 'unripe banana': 0.06756456196308136, 'unripe orange': 0.15617191791534424}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.03.34 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.03.34 PM.png,freshapples,rottenbanana,0.4976147413253784,False,"{'freshapples': 0.05245029181241989, 'freshbanana': 0.01396025251597166, 'freshoranges': 0.07573958486318588, 'rottenapples': 0.03591874986886978, 'rottenbanana': 0.4976147413253784, 'rottenoranges': 0.03312128409743309, 'unripe apple': 0.07626143097877502, 'unripe banana': 0.06841820478439331, 'unripe orange': 0.1465153992176056}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.04.42 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.04.42 PM.png,freshapples,rottenbanana,0.4883655905723572,False,"{'freshapples': 0.05165126547217369, 'freshbanana': 0.013860201463103294, 'freshoranges': 0.07668029516935349, 'rottenapples': 0.037546683102846146, 'rottenbanana': 0.4883655905723572, 'rottenoranges': 0.03271858021616936, 'unripe apple': 0.06771355867385864, 'unripe banana': 0.07102929800748825, 'unripe orange': 0.1604345440864563}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.07.52 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.07.52 PM.png,freshapples,rottenbanana,0.5272889137268066,False,"{'freshapples': 0.05331152305006981, 'freshbanana': 0.010741441510617733, 'freshoranges': 0.06920810043811798, 'rottenapples': 0.03555382043123245, 'rottenbanana': 0.5272889137268066, 'rottenoranges': 0.032141271978616714, 'unripe apple': 0.06328251212835312, 'unripe banana': 0.06983087211847305, 'unripe orange': 0.13864150643348694}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.08.46 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.08.46 PM.png,freshapples,rottenbanana,0.4774857461452484,False,"{'freshapples': 0.05137603357434273, 'freshbanana': 0.013314159587025642, 'freshoranges': 0.07866331189870834, 'rottenapples': 0.038866158574819565, 'rottenbanana': 0.4774857461452484, 'rottenoranges': 0.03343021869659424, 'unripe apple': 0.07010114938020706, 'unripe banana': 0.07278305292129517, 'unripe orange': 0.16398018598556519}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.11.24 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.11.24 PM.png,freshapples,rottenbanana,0.503305971622467,False,"{'freshapples': 0.05250859260559082, 'freshbanana': 0.013268280774354935, 'freshoranges': 0.07500452548265457, 'rottenapples': 0.03964897617697716, 'rottenbanana': 0.503305971622467, 'rottenoranges': 0.03362473100423813, 'unripe apple': 0.05774455890059471, 'unripe banana': 0.06832537800073624, 'unripe orange': 0.15656888484954834}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.20.17 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.20.17 PM.png,freshapples,rottenbanana,0.44532686471939087,False,"{'freshapples': 0.0654979720711708, 'freshbanana': 0.013506166636943817, 'freshoranges': 0.09707728028297424, 'rottenapples': 0.03849188983440399, 'rottenbanana': 0.44532686471939087, 'rottenoranges': 0.03340715169906616, 'unripe apple': 0.067781962454319, 'unripe banana': 0.0744393914937973, 'unripe orange': 0.1644713431596756}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.22.48 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.22.48 PM.png,freshapples,rottenbanana,0.4796355962753296,False,"{'freshapples': 0.05182090029120445, 'freshbanana': 0.011405492201447487, 'freshoranges': 0.09714536368846893, 'rottenapples': 0.04752091318368912, 'rottenbanana': 0.4796355962753296, 'rottenoranges': 0.0322645865380764, 'unripe apple': 0.09990428388118744, 'unripe banana': 0.05387946590781212, 'unripe orange': 0.1264234185218811}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.23.51 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.23.51 PM.png,freshapples,rottenbanana,0.485266774892807,False,"{'freshapples': 0.054894011467695236, 'freshbanana': 0.012042645364999771, 'freshoranges': 0.11410558968782425, 'rottenapples': 0.04846126213669777, 'rottenbanana': 0.485266774892807, 'rottenoranges': 0.03172614797949791, 'unripe apple': 0.08244523406028748, 'unripe banana': 0.05018811300396919, 'unripe orange': 0.12087026983499527}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.24.12 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.24.12 PM.png,freshapples,rottenbanana,0.4985755383968353,False,"{'freshapples': 0.04981839656829834, 'freshbanana': 0.015637367963790894, 'freshoranges': 0.06940639019012451, 'rottenapples': 0.03806397318840027, 'rottenbanana': 0.4985755383968353, 'rottenoranges': 0.03851407393813133, 'unripe apple': 0.059551507234573364, 'unripe banana': 0.07847917824983597, 'unripe orange': 0.1519535481929779}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.27.54 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.27.54 PM.png,freshapples,rottenbanana,0.47581779956817627,False,"{'freshapples': 0.05463547259569168, 'freshbanana': 0.01461718138307333, 'freshoranges': 0.08294234424829483, 'rottenapples': 0.036945078521966934, 'rottenbanana': 0.47581779956817627, 'rottenoranges': 0.035970427095890045, 'unripe apple': 0.06276949495077133, 'unripe banana': 0.06615643948316574, 'unripe orange': 0.17014577984809875}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.28.59 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.28.59 PM.png,freshapples,rottenbanana,0.4290612041950226,False,"{'freshapples': 0.06938701868057251, 'freshbanana': 0.01551428996026516, 'freshoranges': 0.09796316176652908, 'rottenapples': 0.039097342640161514, 'rottenbanana': 0.4290612041950226, 'rottenoranges': 0.036583203822374344, 'unripe apple': 0.0605798065662384, 'unripe banana': 0.0818711593747139, 'unripe orange': 0.16994285583496094}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_30_Screen Shot 2018-06-08 at 5.32.50 PM.png,rotated_by_30_Screen Shot 2018-06-08 at 5.32.50 PM.png,freshapples,rottenbanana,0.46273621916770935,False,"{'freshapples': 0.05099537968635559, 'freshbanana': 0.013618851080536842, 'freshoranges': 0.08412675559520721, 'rottenapples': 0.040912192314863205, 'rottenbanana': 0.46273621916770935, 'rottenoranges': 0.031126253306865692, 'unripe apple': 0.07799043506383896, 'unripe banana': 0.07070869952440262, 'unripe orange': 0.167785182595253}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.00.12 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.00.12 PM.png,freshapples,rottenbanana,0.47976309061050415,False,"{'freshapples': 0.054989058524370193, 'freshbanana': 0.013698744587600231, 'freshoranges': 0.056371066719293594, 'rottenapples': 0.034536734223365784, 'rottenbanana': 0.47976309061050415, 'rottenoranges': 0.028971534222364426, 'unripe apple': 0.0689333826303482, 'unripe banana': 0.06865198910236359, 'unripe orange': 0.19408436119556427}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.00.26 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.00.26 PM.png,freshapples,rottenbanana,0.45587387681007385,False,"{'freshapples': 0.05121006816625595, 'freshbanana': 0.014500743709504604, 'freshoranges': 0.07021886855363846, 'rottenapples': 0.03518467769026756, 'rottenbanana': 0.45587387681007385, 'rottenoranges': 0.029197674244642258, 'unripe apple': 0.08199229091405869, 'unripe banana': 0.07455099374055862, 'unripe orange': 0.187270849943161}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.03.40 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.03.40 PM.png,freshapples,rottenbanana,0.4525963366031647,False,"{'freshapples': 0.054407697170972824, 'freshbanana': 0.01367824338376522, 'freshoranges': 0.07639666646718979, 'rottenapples': 0.03596283867955208, 'rottenbanana': 0.4525963366031647, 'rottenoranges': 0.028359778225421906, 'unripe apple': 0.08475042879581451, 'unripe banana': 0.07986300438642502, 'unripe orange': 0.17398498952388763}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.11.41 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.11.41 PM.png,freshapples,rottenbanana,0.48520150780677795,False,"{'freshapples': 0.05242934077978134, 'freshbanana': 0.01460865419358015, 'freshoranges': 0.05553197115659714, 'rottenapples': 0.03455716371536255, 'rottenbanana': 0.48520150780677795, 'rottenoranges': 0.03235935792326927, 'unripe apple': 0.07105860114097595, 'unripe banana': 0.0729370191693306, 'unripe orange': 0.18131643533706665}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.15.21 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.15.21 PM.png,freshapples,rottenbanana,0.46253302693367004,False,"{'freshapples': 0.051657237112522125, 'freshbanana': 0.01629103161394596, 'freshoranges': 0.05613359063863754, 'rottenapples': 0.034678515046834946, 'rottenbanana': 0.46253302693367004, 'rottenoranges': 0.03081326372921467, 'unripe apple': 0.0733097493648529, 'unripe banana': 0.07521319389343262, 'unripe orange': 0.19937030971050262}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.18.37 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.18.37 PM.png,freshapples,rottenbanana,0.48052453994750977,False,"{'freshapples': 0.052396390587091446, 'freshbanana': 0.013797114603221416, 'freshoranges': 0.06580504029989243, 'rottenapples': 0.03351810574531555, 'rottenbanana': 0.48052453994750977, 'rottenoranges': 0.03210188075900078, 'unripe apple': 0.06591413170099258, 'unripe banana': 0.07600903511047363, 'unripe orange': 0.1799338012933731}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.20.26 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.20.26 PM.png,freshapples,rottenbanana,0.4254157841205597,False,"{'freshapples': 0.06272906064987183, 'freshbanana': 0.01434092316776514, 'freshoranges': 0.0709502175450325, 'rottenapples': 0.03991948813199997, 'rottenbanana': 0.4254157841205597, 'rottenoranges': 0.03443576768040657, 'unripe apple': 0.07803982496261597, 'unripe banana': 0.09120983630418777, 'unripe orange': 0.18295918405056}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.20.32 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.20.32 PM.png,freshapples,rottenbanana,0.47006356716156006,False,"{'freshapples': 0.04924957826733589, 'freshbanana': 0.014858708716928959, 'freshoranges': 0.05132739990949631, 'rottenapples': 0.036472614854574203, 'rottenbanana': 0.47006356716156006, 'rottenoranges': 0.03100450709462166, 'unripe apple': 0.07962682098150253, 'unripe banana': 0.0784539133310318, 'unripe orange': 0.18894293904304504}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.24.35 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.24.35 PM.png,freshapples,rottenbanana,0.5384142994880676,False,"{'freshapples': 0.04473146051168442, 'freshbanana': 0.011031846515834332, 'freshoranges': 0.07350338250398636, 'rottenapples': 0.03585822135210037, 'rottenbanana': 0.5384142994880676, 'rottenoranges': 0.025568492710590363, 'unripe apple': 0.08035014569759369, 'unripe banana': 0.05793975293636322, 'unripe orange': 0.13260242342948914}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.28.04 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.28.04 PM.png,freshapples,rottenbanana,0.46041250228881836,False,"{'freshapples': 0.053739991039037704, 'freshbanana': 0.013210350647568703, 'freshoranges': 0.07415109127759933, 'rottenapples': 0.033853136003017426, 'rottenbanana': 0.46041250228881836, 'rottenoranges': 0.026038145646452904, 'unripe apple': 0.07292409986257553, 'unripe banana': 0.07426149398088455, 'unripe orange': 0.1914091855287552}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.28.59 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.28.59 PM.png,freshapples,rottenbanana,0.4569118320941925,False,"{'freshapples': 0.06273898482322693, 'freshbanana': 0.0161955077201128, 'freshoranges': 0.0846407562494278, 'rottenapples': 0.03391142562031746, 'rottenbanana': 0.4569118320941925, 'rottenoranges': 0.02918323129415512, 'unripe apple': 0.0634726732969284, 'unripe banana': 0.074506014585495, 'unripe orange': 0.17843958735466003}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_45_Screen Shot 2018-06-08 at 5.34.21 PM.png,rotated_by_45_Screen Shot 2018-06-08 at 5.34.21 PM.png,freshapples,rottenbanana,0.49089354276657104,False,"{'freshapples': 0.051358532160520554, 'freshbanana': 0.012800232507288456, 'freshoranges': 0.06389234960079193, 'rottenapples': 0.03154909983277321, 'rottenbanana': 0.49089354276657104, 'rottenoranges': 0.02729448489844799, 'unripe apple': 0.06971156597137451, 'unripe banana': 0.06811925023794174, 'unripe orange': 0.18438097834587097}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_60_Screen Shot 2018-06-08 at 4.59.57 PM.png,rotated_by_60_Screen Shot 2018-06-08 at 4.59.57 PM.png,freshapples,rottenbanana,0.44667088985443115,False,"{'freshapples': 0.055703144520521164, 'freshbanana': 0.017300087958574295, 'freshoranges': 0.07287802547216415, 'rottenapples': 0.03739023581147194, 'rottenbanana': 0.44667088985443115, 'rottenoranges': 0.030866382643580437, 'unripe apple': 0.07578342407941818, 'unripe banana': 0.0747801661491394, 'unripe orange': 0.18862760066986084}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_60_Screen Shot 2018-06-08 at 5.00.12 PM.png,rotated_by_60_Screen Shot 2018-06-08 at 5.00.12 PM.png,freshapples,rottenbanana,0.4413270652294159,False,"{'freshapples': 0.05718166008591652, 'freshbanana': 0.014584279619157314, 'freshoranges': 0.06827447563409805, 'rottenapples': 0.04221652075648308, 'rottenbanana': 0.4413270652294159, 'rottenoranges': 0.03212054818868637, 'unripe apple': 0.07374197989702225, 'unripe banana': 0.06252971291542053, 'unripe orange': 0.2080238163471222}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_60_Screen Shot 2018-06-08 at 5.03.17 PM.png,rotated_by_60_Screen Shot 2018-06-08 at 5.03.17 PM.png,freshapples,rottenbanana,0.4897019863128662,False,"{'freshapples': 0.04995976760983467, 'freshbanana': 0.017026279121637344, 'freshoranges': 0.06119045242667198, 'rottenapples': 0.04061175510287285, 'rottenbanana': 0.4897019863128662, 'rottenoranges': 0.0325649157166481, 'unripe apple': 0.06577616930007935, 'unripe banana': 0.07371066510677338, 'unripe orange': 0.1694580465555191}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_60_Screen Shot 2018-06-08 at 5.04.16 PM.png,rotated_by_60_Screen Shot 2018-06-08 at 5.04.16 PM.png,freshapples,rottenbanana,0.5149462819099426,False,"{'freshapples': 0.044286273419857025, 'freshbanana': 0.014001521281898022, 'freshoranges': 0.06272811442613602, 'rottenapples': 0.03803050518035889, 'rottenbanana': 0.5149462819099426, 'rottenoranges': 0.0308828242123127, 'unripe apple': 0.0675298273563385, 'unripe banana': 0.06917327642440796, 'unripe orange': 0.15842141211032867}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_60_Screen Shot 2018-06-08 at 5.07.32 PM.png,rotated_by_60_Screen Shot 2018-06-08 at 5.07.32 PM.png,freshapples,rottenbanana,0.45618292689323425,False,"{'freshapples': 0.05499035865068436, 'freshbanana': 0.016715077683329582, 'freshoranges': 0.07708227634429932, 'rottenapples': 0.04191315919160843, 'rottenbanana': 0.45618292689323425, 'rottenoranges': 0.03225474804639816, 'unripe apple': 0.07203023135662079, 'unripe banana': 0.06894800812005997, 'unripe orange': 0.1798831820487976}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_60_Screen Shot 2018-06-08 at 5.09.17 PM.png,rotated_by_60_Screen Shot 2018-06-08 at 5.09.17 PM.png,freshapples,rottenbanana,0.4721640944480896,False,"{'freshapples': 0.052503179758787155, 'freshbanana': 0.016804521903395653, 'freshoranges': 0.06822893023490906, 'rottenapples': 0.03677700087428093, 'rottenbanana': 0.4721640944480896, 'rottenoranges': 0.027721527963876724, 'unripe apple': 0.06951317936182022, 'unripe banana': 0.07074698060750961, 'unripe orange': 0.1855405569076538}"
